,User1,User2,User3,User4,User5,User6,User7,User8,User9,User10,User11,User12,User13,User14,User15,User16,User17,User18,User19,User20,User21,User22,User23,User24,User25,User26,User27,User28,User29,User30,User31,User32,User33,User34,User35,User36,User37,User38,User39,User40,User41,User42,User43,User44,User45,User46,User47,User48,User49,User50,User51,User52,User53,User54,User55,User56,User57,User58,User59,User60,User61,User62,User63,User64,User65,User66,User67,User68,User69,User70,User71,User72,User73,User74,User75,User76,User77,User78,User79,User80,User81,User82,User83,User84,User85,User86,User87,User88,User89,User90,User91,User92,User93,User94,User95,User96,User97,User98,User99,User100
Getting to the Plug,4.0,4.0,5.0,2.0,,3.0,3.0,4.0,3.0,4.0,2.0,3.0,4.0,4.0,1.0,1.0,5.0,4.0,4.0,3.0,5.0,3.0,,5.0,5.0,3.0,,5.0,5.0,4.0,4.0,5.0,5.0,3.0,3.0,4.0,3.0,3.0,5.0,1.0,2.0,1.0,4.0,3.0,4.0,5.0,5.0,,3.0,4.0,3.0,2.0,4.0,5.0,4.0,2.0,,,4.0,1.0,1.0,1.0,3.0,,4.0,3.0,2.0,5.0,2.0,5.0,5.0,1.0,4.0,1.0,2.0,2.0,5.0,5.0,5.0,5.0,2.0,2.0,5.0,,1.0,,2.0,3.0,,1.0,3.0,4.0,3.0,3.0,2.0,4.0,5.0,3.0,4.0,2.0
Iron Butterflies,4.0,3.0,,2.0,1.0,1.0,5.0,2.0,4.0,1.0,1.0,3.0,3.0,5.0,4.0,,4.0,3.0,2.0,1.0,3.0,,1.0,3.0,3.0,5.0,2.0,4.0,3.0,5.0,1.0,4.0,3.0,1.0,1.0,1.0,1.0,5.0,4.0,,4.0,5.0,1.0,1.0,4.0,2.0,3.0,1.0,1.0,1.0,5.0,,1.0,5.0,4.0,1.0,2.0,3.0,5.0,3.0,5.0,5.0,,3.0,4.0,3.0,3.0,2.0,4.0,3.0,4.0,4.0,,3.0,3.0,,1.0,4.0,,5.0,3.0,5.0,3.0,4.0,4.0,4.0,5.0,3.0,1.0,3.0,2.0,4.0,3.0,5.0,1.0,5.0,4.0,1.0,3.0,3.0
A Thousand and One,3.0,2.0,1.0,5.0,1.0,2.0,1.0,,5.0,4.0,2.0,1.0,2.0,2.0,2.0,3.0,5.0,1.0,5.0,3.0,3.0,2.0,3.0,,3.0,2.0,4.0,4.0,,5.0,1.0,1.0,5.0,1.0,5.0,5.0,4.0,5.0,1.0,,4.0,4.0,5.0,5.0,3.0,5.0,1.0,1.0,,5.0,4.0,5.0,5.0,3.0,2.0,3.0,4.0,5.0,,5.0,4.0,4.0,2.0,3.0,1.0,4.0,3.0,4.0,3.0,2.0,1.0,1.0,1.0,4.0,5.0,1.0,2.0,1.0,3.0,4.0,4.0,4.0,2.0,5.0,5.0,2.0,4.0,,2.0,1.0,2.0,1.0,3.0,4.0,4.0,4.0,5.0,4.0,3.0,1.0
Red Fever,3.0,3.0,5.0,,3.0,,3.0,5.0,5.0,4.0,1.0,2.0,3.0,4.0,5.0,5.0,4.0,4.0,5.0,4.0,1.0,,2.0,2.0,5.0,4.0,5.0,,2.0,5.0,4.0,4.0,5.0,1.0,5.0,3.0,1.0,1.0,4.0,3.0,4.0,4.0,5.0,5.0,5.0,5.0,3.0,4.0,2.0,4.0,5.0,2.0,5.0,,3.0,5.0,4.0,,4.0,3.0,,,3.0,5.0,3.0,5.0,1.0,5.0,2.0,3.0,4.0,4.0,5.0,4.0,3.0,5.0,1.0,,4.0,3.0,1.0,5.0,2.0,1.0,2.0,3.0,2.0,3.0,2.0,1.0,,5.0,4.0,1.0,4.0,2.0,4.0,2.0,2.0,1.0
A Wall Away,1.0,4.0,2.0,1.0,3.0,4.0,,5.0,1.0,1.0,4.0,1.0,,1.0,4.0,1.0,2.0,1.0,2.0,3.0,1.0,4.0,3.0,3.0,4.0,5.0,5.0,5.0,1.0,2.0,,5.0,,4.0,5.0,4.0,4.0,1.0,5.0,2.0,2.0,5.0,3.0,1.0,3.0,5.0,,1.0,1.0,3.0,,4.0,,2.0,5.0,4.0,2.0,3.0,4.0,2.0,5.0,2.0,3.0,,3.0,5.0,2.0,5.0,3.0,,2.0,2.0,1.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,3.0,5.0,,,4.0,4.0,3.0,1.0,3.0,5.0,3.0,,3.0,4.0,1.0,,1.0,5.0,4.0,5.0
The Beast Comes at Midnight,3.0,4.0,3.0,2.0,,1.0,4.0,,3.0,4.0,4.0,1.0,2.0,,4.0,5.0,4.0,4.0,3.0,3.0,3.0,1.0,2.0,2.0,,,2.0,2.0,4.0,5.0,4.0,1.0,1.0,4.0,3.0,,4.0,1.0,5.0,5.0,1.0,3.0,2.0,5.0,3.0,4.0,1.0,3.0,4.0,4.0,3.0,3.0,5.0,2.0,5.0,2.0,1.0,5.0,3.0,2.0,4.0,1.0,5.0,5.0,4.0,5.0,4.0,5.0,,2.0,2.0,2.0,4.0,1.0,2.0,,1.0,1.0,3.0,2.0,3.0,2.0,3.0,3.0,1.0,4.0,,5.0,5.0,,2.0,1.0,2.0,5.0,5.0,,4.0,5.0,5.0,3.0
Der Soldat Monika,2.0,5.0,,5.0,2.0,2.0,4.0,1.0,2.0,4.0,4.0,1.0,2.0,1.0,5.0,1.0,5.0,5.0,4.0,4.0,4.0,1.0,1.0,3.0,4.0,,,2.0,2.0,4.0,3.0,1.0,4.0,2.0,3.0,2.0,2.0,5.0,1.0,5.0,1.0,2.0,1.0,1.0,4.0,3.0,5.0,1.0,4.0,4.0,4.0,,4.0,4.0,3.0,5.0,,5.0,1.0,3.0,4.0,3.0,4.0,1.0,2.0,5.0,1.0,1.0,5.0,1.0,,4.0,5.0,2.0,2.0,,1.0,3.0,5.0,4.0,1.0,1.0,4.0,3.0,1.0,4.0,1.0,1.0,2.0,3.0,2.0,4.0,5.0,3.0,4.0,4.0,3.0,2.0,,3.0
Don't Tell Mom the Babysitter's Dead,4.0,3.0,1.0,3.0,2.0,2.0,,,4.0,2.0,4.0,1.0,2.0,1.0,2.0,3.0,4.0,,1.0,4.0,3.0,4.0,3.0,4.0,4.0,1.0,5.0,2.0,1.0,4.0,4.0,5.0,5.0,4.0,5.0,4.0,5.0,2.0,3.0,4.0,1.0,1.0,3.0,5.0,4.0,5.0,4.0,5.0,1.0,5.0,5.0,1.0,4.0,1.0,2.0,2.0,5.0,2.0,5.0,3.0,3.0,3.0,2.0,1.0,4.0,2.0,4.0,3.0,5.0,1.0,4.0,3.0,4.0,3.0,2.0,3.0,2.0,,4.0,1.0,2.0,4.0,3.0,2.0,,3.0,2.0,2.0,,1.0,,1.0,2.0,4.0,3.0,3.0,5.0,1.0,1.0,4.0
Game Over,3.0,4.0,3.0,5.0,4.0,4.0,1.0,5.0,5.0,4.0,3.0,3.0,2.0,5.0,2.0,5.0,1.0,5.0,2.0,1.0,3.0,1.0,2.0,4.0,1.0,2.0,5.0,1.0,4.0,5.0,5.0,5.0,3.0,5.0,3.0,4.0,2.0,4.0,2.0,5.0,1.0,2.0,2.0,2.0,5.0,3.0,2.0,5.0,5.0,1.0,3.0,,1.0,5.0,1.0,2.0,2.0,4.0,2.0,3.0,1.0,5.0,4.0,3.0,2.0,2.0,1.0,5.0,5.0,4.0,3.0,4.0,5.0,4.0,2.0,1.0,5.0,2.0,2.0,2.0,1.0,1.0,4.0,5.0,,3.0,4.0,1.0,5.0,1.0,4.0,3.0,,5.0,4.0,,3.0,3.0,1.0,4.0
Hirten - Hüter der Erde,5.0,4.0,4.0,5.0,,5.0,5.0,5.0,5.0,1.0,3.0,,2.0,,1.0,3.0,5.0,3.0,4.0,5.0,3.0,5.0,1.0,5.0,3.0,4.0,1.0,1.0,3.0,3.0,1.0,1.0,3.0,4.0,2.0,2.0,1.0,1.0,2.0,3.0,1.0,4.0,4.0,5.0,1.0,2.0,1.0,1.0,5.0,5.0,,1.0,,2.0,,5.0,4.0,3.0,5.0,5.0,4.0,1.0,5.0,5.0,3.0,3.0,5.0,4.0,4.0,,3.0,3.0,,4.0,3.0,,5.0,2.0,2.0,1.0,1.0,1.0,3.0,4.0,,,2.0,4.0,2.0,2.0,4.0,5.0,3.0,,5.0,1.0,1.0,1.0,3.0,
Colorblind,2.0,3.0,4.0,3.0,4.0,,4.0,5.0,5.0,3.0,5.0,5.0,1.0,3.0,4.0,5.0,3.0,5.0,4.0,3.0,1.0,,3.0,1.0,2.0,5.0,3.0,3.0,5.0,,3.0,4.0,5.0,5.0,1.0,5.0,,3.0,2.0,,3.0,1.0,4.0,2.0,3.0,5.0,2.0,4.0,3.0,4.0,1.0,,5.0,4.0,4.0,4.0,3.0,4.0,1.0,2.0,1.0,2.0,5.0,2.0,2.0,1.0,5.0,,4.0,4.0,1.0,2.0,5.0,4.0,5.0,2.0,2.0,5.0,5.0,,5.0,5.0,4.0,4.0,3.0,3.0,5.0,3.0,1.0,4.0,5.0,,5.0,5.0,,2.0,1.0,3.0,1.0,5.0
Serial Beauty,4.0,5.0,1.0,3.0,2.0,,,4.0,5.0,4.0,4.0,,1.0,1.0,5.0,4.0,4.0,2.0,5.0,4.0,5.0,5.0,5.0,1.0,5.0,3.0,4.0,1.0,5.0,2.0,1.0,3.0,5.0,5.0,5.0,2.0,4.0,2.0,4.0,1.0,2.0,3.0,4.0,2.0,2.0,,4.0,,1.0,1.0,3.0,5.0,2.0,2.0,4.0,1.0,3.0,5.0,3.0,3.0,3.0,,2.0,4.0,,2.0,5.0,2.0,,2.0,4.0,3.0,4.0,3.0,4.0,2.0,,4.0,2.0,1.0,4.0,1.0,2.0,2.0,3.0,3.0,4.0,5.0,5.0,5.0,1.0,,4.0,2.0,3.0,1.0,,4.0,,3.0
Five Months to say Goodbye,5.0,2.0,3.0,4.0,,5.0,2.0,2.0,1.0,4.0,3.0,2.0,1.0,4.0,4.0,5.0,,1.0,2.0,4.0,2.0,4.0,5.0,5.0,1.0,2.0,1.0,4.0,5.0,5.0,3.0,4.0,4.0,4.0,1.0,5.0,3.0,4.0,3.0,4.0,5.0,,2.0,5.0,,3.0,,5.0,2.0,3.0,1.0,4.0,,4.0,4.0,3.0,3.0,,4.0,4.0,2.0,,3.0,5.0,3.0,3.0,4.0,1.0,3.0,1.0,2.0,,4.0,5.0,3.0,3.0,3.0,5.0,4.0,3.0,4.0,4.0,1.0,5.0,2.0,2.0,2.0,1.0,1.0,4.0,2.0,2.0,1.0,5.0,2.0,5.0,3.0,5.0,4.0,4.0
Before the World Set on Fire,2.0,1.0,3.0,4.0,1.0,5.0,3.0,3.0,2.0,3.0,,2.0,4.0,3.0,5.0,5.0,2.0,1.0,5.0,,5.0,3.0,4.0,5.0,3.0,1.0,5.0,3.0,,3.0,2.0,3.0,4.0,4.0,5.0,2.0,5.0,3.0,1.0,4.0,1.0,3.0,5.0,1.0,,5.0,2.0,4.0,4.0,4.0,3.0,5.0,3.0,2.0,4.0,3.0,1.0,5.0,1.0,4.0,4.0,2.0,2.0,4.0,5.0,5.0,5.0,1.0,2.0,3.0,5.0,,4.0,5.0,5.0,4.0,3.0,5.0,,2.0,4.0,1.0,4.0,1.0,,5.0,,5.0,4.0,1.0,5.0,5.0,4.0,1.0,1.0,5.0,5.0,5.0,,4.0
Brobixby,3.0,4.0,3.0,3.0,5.0,,4.0,2.0,1.0,1.0,3.0,3.0,1.0,4.0,5.0,2.0,1.0,3.0,1.0,4.0,2.0,3.0,1.0,5.0,3.0,1.0,,2.0,4.0,2.0,1.0,,4.0,4.0,4.0,,5.0,2.0,3.0,3.0,3.0,4.0,5.0,3.0,3.0,2.0,3.0,1.0,4.0,,5.0,5.0,5.0,1.0,4.0,5.0,5.0,,4.0,3.0,2.0,5.0,,4.0,1.0,2.0,1.0,1.0,4.0,2.0,4.0,2.0,4.0,4.0,3.0,4.0,4.0,,4.0,3.0,,3.0,5.0,5.0,4.0,5.0,4.0,4.0,5.0,5.0,3.0,3.0,4.0,,2.0,5.0,4.0,3.0,,4.0
The Victims,4.0,5.0,2.0,4.0,1.0,3.0,1.0,3.0,5.0,1.0,3.0,,2.0,3.0,3.0,1.0,3.0,2.0,5.0,2.0,3.0,3.0,2.0,1.0,1.0,2.0,,3.0,1.0,5.0,2.0,4.0,5.0,1.0,2.0,4.0,1.0,2.0,5.0,,4.0,2.0,5.0,5.0,1.0,5.0,5.0,2.0,4.0,1.0,3.0,4.0,5.0,3.0,4.0,1.0,3.0,2.0,3.0,5.0,5.0,5.0,1.0,,5.0,5.0,5.0,4.0,4.0,,5.0,,4.0,1.0,3.0,3.0,5.0,1.0,3.0,3.0,2.0,3.0,,1.0,1.0,,,1.0,4.0,5.0,1.0,2.0,2.0,5.0,3.0,3.0,1.0,,5.0,5.0
MAMA!,2.0,4.0,4.0,3.0,3.0,2.0,1.0,,1.0,,1.0,4.0,4.0,2.0,3.0,5.0,3.0,4.0,5.0,1.0,,1.0,5.0,5.0,5.0,2.0,,5.0,5.0,4.0,2.0,1.0,3.0,2.0,3.0,3.0,4.0,1.0,3.0,4.0,,2.0,2.0,4.0,2.0,,5.0,2.0,1.0,4.0,3.0,,4.0,4.0,1.0,,3.0,4.0,3.0,2.0,5.0,4.0,1.0,5.0,2.0,3.0,1.0,5.0,4.0,2.0,1.0,5.0,1.0,5.0,,1.0,5.0,4.0,1.0,5.0,4.0,4.0,,4.0,2.0,,5.0,5.0,4.0,2.0,3.0,5.0,3.0,4.0,3.0,5.0,5.0,3.0,2.0,2.0
Overdose,1.0,,2.0,3.0,3.0,4.0,5.0,1.0,5.0,4.0,3.0,,4.0,5.0,3.0,3.0,5.0,5.0,1.0,4.0,5.0,1.0,4.0,4.0,3.0,,4.0,2.0,1.0,1.0,3.0,4.0,3.0,4.0,1.0,3.0,3.0,3.0,1.0,3.0,4.0,,4.0,5.0,5.0,1.0,5.0,1.0,1.0,2.0,1.0,4.0,,4.0,3.0,3.0,5.0,5.0,1.0,3.0,4.0,4.0,1.0,,3.0,4.0,4.0,1.0,5.0,4.0,,4.0,5.0,5.0,4.0,3.0,2.0,1.0,,,3.0,4.0,3.0,2.0,,4.0,3.0,,4.0,2.0,5.0,3.0,1.0,2.0,2.0,5.0,,5.0,5.0,2.0
Stale Popcorn and Sticky Floors,,4.0,,5.0,1.0,2.0,1.0,2.0,5.0,4.0,1.0,3.0,2.0,4.0,5.0,5.0,,3.0,5.0,3.0,1.0,3.0,1.0,3.0,5.0,,3.0,3.0,2.0,3.0,5.0,2.0,,,2.0,,5.0,5.0,3.0,5.0,5.0,1.0,,,3.0,3.0,2.0,4.0,4.0,3.0,2.0,5.0,5.0,,1.0,5.0,5.0,4.0,,4.0,5.0,3.0,4.0,3.0,5.0,3.0,5.0,4.0,4.0,4.0,2.0,1.0,3.0,5.0,2.0,2.0,,2.0,3.0,4.0,,2.0,4.0,5.0,2.0,4.0,5.0,4.0,5.0,4.0,1.0,,1.0,1.0,3.0,,,5.0,5.0,5.0
Dark Entities,3.0,1.0,2.0,3.0,,2.0,1.0,2.0,5.0,5.0,2.0,,,1.0,2.0,3.0,2.0,3.0,1.0,2.0,4.0,1.0,1.0,2.0,3.0,5.0,1.0,2.0,1.0,3.0,4.0,4.0,2.0,4.0,4.0,5.0,5.0,,,3.0,1.0,4.0,3.0,1.0,5.0,3.0,4.0,3.0,3.0,5.0,3.0,1.0,2.0,3.0,3.0,5.0,,2.0,4.0,4.0,2.0,4.0,,4.0,3.0,2.0,4.0,2.0,3.0,,,2.0,1.0,3.0,,3.0,5.0,4.0,4.0,4.0,5.0,2.0,4.0,5.0,,5.0,4.0,4.0,3.0,1.0,4.0,3.0,1.0,2.0,3.0,2.0,1.0,4.0,2.0,3.0
Suswagatam Khushamadeed,5.0,4.0,5.0,1.0,5.0,2.0,5.0,3.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,3.0,3.0,4.0,5.0,3.0,1.0,4.0,3.0,3.0,4.0,4.0,5.0,,4.0,3.0,3.0,3.0,4.0,3.0,1.0,4.0,,2.0,1.0,4.0,3.0,,2.0,,1.0,5.0,3.0,,2.0,3.0,5.0,2.0,1.0,,3.0,1.0,1.0,5.0,3.0,1.0,4.0,4.0,3.0,2.0,,1.0,4.0,4.0,2.0,,2.0,5.0,,1.0,2.0,5.0,2.0,4.0,3.0,4.0,,5.0,2.0,5.0,5.0,2.0,1.0,5.0,1.0,3.0,2.0,3.0,4.0,4.0,,5.0,5.0,,2.0,3.0
The Kings of Salsa,5.0,1.0,4.0,4.0,4.0,3.0,4.0,5.0,3.0,1.0,4.0,3.0,4.0,1.0,5.0,,4.0,1.0,2.0,3.0,4.0,1.0,5.0,4.0,1.0,3.0,5.0,3.0,,,,5.0,4.0,,4.0,4.0,4.0,4.0,1.0,,3.0,2.0,2.0,,2.0,3.0,5.0,4.0,2.0,4.0,2.0,1.0,5.0,3.0,4.0,1.0,2.0,4.0,4.0,2.0,4.0,5.0,4.0,4.0,3.0,1.0,1.0,2.0,3.0,4.0,4.0,1.0,4.0,1.0,3.0,3.0,4.0,3.0,3.0,2.0,3.0,1.0,1.0,4.0,2.0,2.0,,2.0,4.0,1.0,,3.0,3.0,4.0,5.0,,1.0,4.0,4.0,5.0
Dark Lullabies: An Anthology by Michael Coulombe,1.0,4.0,5.0,4.0,3.0,5.0,3.0,4.0,5.0,2.0,3.0,5.0,5.0,1.0,5.0,3.0,4.0,5.0,4.0,,5.0,4.0,5.0,,1.0,,1.0,2.0,1.0,1.0,4.0,4.0,3.0,,4.0,4.0,2.0,,3.0,5.0,1.0,5.0,5.0,2.0,3.0,3.0,5.0,5.0,,2.0,2.0,4.0,4.0,4.0,4.0,5.0,5.0,2.0,3.0,,4.0,1.0,2.0,4.0,2.0,1.0,2.0,5.0,4.0,3.0,5.0,4.0,4.0,4.0,3.0,3.0,5.0,1.0,,2.0,,1.0,5.0,3.0,,4.0,3.0,1.0,3.0,3.0,2.0,2.0,1.0,1.0,5.0,2.0,3.0,3.0,4.0,1.0
The Wait,3.0,1.0,2.0,,4.0,5.0,5.0,4.0,2.0,3.0,4.0,3.0,,4.0,,2.0,1.0,,4.0,2.0,2.0,5.0,1.0,3.0,3.0,3.0,5.0,4.0,,5.0,5.0,4.0,2.0,4.0,1.0,4.0,4.0,4.0,2.0,3.0,2.0,2.0,3.0,4.0,3.0,4.0,1.0,4.0,5.0,5.0,3.0,1.0,,2.0,4.0,4.0,1.0,1.0,5.0,,4.0,1.0,1.0,5.0,5.0,3.0,3.0,3.0,3.0,1.0,4.0,2.0,1.0,5.0,3.0,5.0,5.0,3.0,4.0,3.0,5.0,4.0,5.0,,5.0,3.0,3.0,2.0,3.0,5.0,,5.0,1.0,2.0,,1.0,1.0,4.0,3.0,4.0
Hovering Blade,2.0,4.0,2.0,4.0,3.0,,1.0,3.0,4.0,3.0,4.0,4.0,5.0,4.0,2.0,2.0,5.0,5.0,4.0,4.0,3.0,2.0,2.0,4.0,,,5.0,4.0,1.0,3.0,1.0,4.0,1.0,4.0,1.0,4.0,2.0,5.0,2.0,2.0,1.0,4.0,2.0,4.0,,5.0,1.0,5.0,4.0,5.0,2.0,3.0,,4.0,,5.0,5.0,3.0,1.0,1.0,3.0,4.0,1.0,2.0,2.0,4.0,5.0,1.0,,,5.0,2.0,1.0,3.0,3.0,4.0,1.0,2.0,1.0,3.0,3.0,3.0,,1.0,5.0,3.0,4.0,3.0,4.0,5.0,1.0,1.0,4.0,4.0,4.0,1.0,3.0,3.0,4.0,5.0
The Armenian Spread,1.0,5.0,4.0,1.0,3.0,4.0,1.0,,5.0,1.0,4.0,5.0,,3.0,,1.0,,5.0,5.0,3.0,3.0,5.0,3.0,2.0,,1.0,5.0,1.0,,1.0,3.0,3.0,,4.0,1.0,1.0,,5.0,1.0,1.0,2.0,3.0,1.0,4.0,5.0,4.0,,3.0,2.0,4.0,,1.0,3.0,2.0,3.0,,4.0,5.0,3.0,3.0,3.0,3.0,4.0,5.0,2.0,4.0,2.0,5.0,5.0,,4.0,3.0,2.0,,,5.0,2.0,5.0,1.0,4.0,,4.0,3.0,1.0,4.0,3.0,4.0,4.0,3.0,1.0,4.0,3.0,4.0,3.0,5.0,5.0,5.0,,3.0,4.0
72,,5.0,1.0,2.0,4.0,5.0,2.0,5.0,4.0,1.0,3.0,1.0,,4.0,5.0,5.0,4.0,4.0,2.0,1.0,,4.0,1.0,5.0,5.0,2.0,1.0,5.0,5.0,3.0,,1.0,3.0,2.0,3.0,4.0,4.0,4.0,1.0,2.0,3.0,1.0,5.0,3.0,1.0,1.0,4.0,,5.0,4.0,,,1.0,3.0,4.0,5.0,2.0,5.0,2.0,4.0,1.0,5.0,1.0,3.0,3.0,5.0,1.0,3.0,3.0,3.0,2.0,4.0,1.0,5.0,1.0,5.0,3.0,4.0,,5.0,2.0,2.0,4.0,3.0,4.0,1.0,5.0,3.0,5.0,5.0,4.0,1.0,3.0,,2.0,3.0,3.0,1.0,1.0,5.0
Balestra,3.0,2.0,5.0,,2.0,3.0,5.0,1.0,,3.0,5.0,5.0,1.0,2.0,3.0,4.0,3.0,,1.0,4.0,2.0,3.0,3.0,1.0,5.0,,5.0,5.0,2.0,4.0,2.0,2.0,4.0,4.0,,3.0,4.0,4.0,2.0,4.0,1.0,,3.0,1.0,5.0,3.0,1.0,5.0,3.0,,3.0,2.0,,4.0,3.0,4.0,1.0,1.0,,4.0,3.0,2.0,,4.0,1.0,3.0,3.0,2.0,4.0,1.0,3.0,3.0,5.0,3.0,3.0,3.0,4.0,4.0,2.0,3.0,1.0,,5.0,1.0,4.0,1.0,1.0,4.0,4.0,3.0,5.0,1.0,4.0,5.0,5.0,4.0,5.0,4.0,4.0,4.0
Protege Moi,4.0,2.0,3.0,5.0,5.0,1.0,3.0,1.0,3.0,,4.0,4.0,1.0,4.0,1.0,3.0,4.0,5.0,2.0,3.0,5.0,5.0,4.0,4.0,1.0,3.0,4.0,3.0,3.0,5.0,4.0,3.0,1.0,5.0,2.0,1.0,3.0,1.0,2.0,5.0,4.0,2.0,5.0,3.0,4.0,3.0,2.0,3.0,1.0,5.0,4.0,4.0,4.0,4.0,5.0,2.0,2.0,1.0,5.0,5.0,1.0,5.0,5.0,1.0,4.0,3.0,1.0,2.0,1.0,4.0,3.0,2.0,5.0,1.0,4.0,2.0,2.0,2.0,5.0,,4.0,4.0,5.0,1.0,3.0,5.0,3.0,1.0,2.0,1.0,3.0,3.0,2.0,2.0,,1.0,4.0,4.0,4.0,5.0
Common People,5.0,2.0,1.0,4.0,5.0,2.0,3.0,3.0,4.0,5.0,4.0,,3.0,4.0,3.0,3.0,2.0,2.0,3.0,1.0,3.0,1.0,1.0,1.0,4.0,3.0,1.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,,1.0,3.0,,4.0,,2.0,2.0,5.0,4.0,5.0,3.0,4.0,4.0,5.0,4.0,,1.0,3.0,,3.0,5.0,,4.0,4.0,4.0,4.0,,3.0,,2.0,,5.0,2.0,,5.0,2.0,,1.0,3.0,1.0,1.0,3.0,3.0,3.0,2.0,4.0,5.0,4.0,,2.0,3.0,3.0,5.0,,5.0,4.0,4.0,2.0,3.0,4.0,3.0,1.0,,1.0,3.0
War of the Worlds: The Attack,,3.0,4.0,2.0,2.0,2.0,3.0,1.0,3.0,4.0,3.0,1.0,5.0,4.0,1.0,5.0,5.0,2.0,,4.0,5.0,3.0,4.0,1.0,4.0,3.0,3.0,2.0,1.0,4.0,1.0,,4.0,5.0,4.0,4.0,3.0,2.0,5.0,3.0,2.0,2.0,3.0,3.0,1.0,1.0,,4.0,3.0,5.0,5.0,2.0,3.0,1.0,4.0,2.0,4.0,1.0,1.0,,3.0,1.0,,1.0,2.0,5.0,3.0,4.0,2.0,3.0,5.0,4.0,1.0,2.0,1.0,5.0,3.0,,3.0,1.0,4.0,,5.0,3.0,4.0,5.0,2.0,3.0,3.0,5.0,5.0,4.0,1.0,1.0,5.0,2.0,5.0,3.0,,5.0
Hüddam 3: Lamia,2.0,,5.0,1.0,,2.0,4.0,3.0,3.0,3.0,3.0,3.0,5.0,5.0,5.0,1.0,1.0,,2.0,3.0,3.0,5.0,4.0,5.0,5.0,1.0,5.0,4.0,3.0,3.0,5.0,,5.0,2.0,5.0,5.0,5.0,4.0,2.0,2.0,3.0,,1.0,,2.0,,4.0,2.0,3.0,1.0,,2.0,3.0,5.0,5.0,5.0,1.0,4.0,4.0,1.0,4.0,4.0,5.0,2.0,1.0,4.0,4.0,,4.0,2.0,1.0,5.0,4.0,1.0,1.0,3.0,5.0,5.0,2.0,5.0,5.0,5.0,1.0,3.0,2.0,4.0,3.0,5.0,5.0,3.0,1.0,1.0,3.0,3.0,5.0,4.0,1.0,4.0,2.0,1.0
Reinventing Elvis: The '68 Comeback,3.0,4.0,2.0,4.0,3.0,,5.0,2.0,2.0,5.0,4.0,3.0,3.0,4.0,3.0,4.0,1.0,5.0,3.0,2.0,3.0,1.0,1.0,3.0,5.0,1.0,5.0,1.0,5.0,4.0,1.0,5.0,3.0,2.0,3.0,3.0,,,4.0,3.0,,2.0,1.0,5.0,2.0,2.0,3.0,5.0,2.0,3.0,1.0,,,,1.0,3.0,,1.0,5.0,5.0,5.0,1.0,4.0,3.0,1.0,4.0,5.0,2.0,4.0,2.0,3.0,5.0,3.0,5.0,1.0,1.0,,5.0,2.0,2.0,5.0,5.0,4.0,3.0,1.0,2.0,3.0,2.0,5.0,2.0,,1.0,5.0,1.0,4.0,2.0,4.0,2.0,,5.0
Speak Sunlight,5.0,4.0,1.0,1.0,5.0,2.0,4.0,5.0,,3.0,4.0,2.0,4.0,4.0,5.0,2.0,2.0,,3.0,1.0,5.0,4.0,5.0,5.0,3.0,2.0,5.0,5.0,,3.0,2.0,,4.0,3.0,4.0,5.0,2.0,2.0,4.0,3.0,5.0,2.0,5.0,5.0,2.0,3.0,4.0,,4.0,5.0,3.0,4.0,3.0,1.0,5.0,4.0,,2.0,4.0,5.0,2.0,1.0,5.0,5.0,4.0,3.0,4.0,1.0,3.0,2.0,5.0,2.0,5.0,5.0,1.0,1.0,2.0,1.0,3.0,4.0,2.0,5.0,4.0,1.0,3.0,4.0,3.0,5.0,5.0,4.0,2.0,3.0,5.0,,2.0,5.0,,4.0,3.0,3.0
Defend Your Name,5.0,3.0,1.0,1.0,,3.0,5.0,2.0,5.0,1.0,1.0,2.0,1.0,2.0,,2.0,5.0,1.0,2.0,3.0,2.0,3.0,4.0,1.0,2.0,3.0,2.0,2.0,5.0,5.0,5.0,4.0,5.0,1.0,1.0,3.0,4.0,3.0,4.0,4.0,1.0,5.0,3.0,,4.0,5.0,4.0,3.0,4.0,4.0,3.0,1.0,5.0,3.0,,,5.0,3.0,5.0,3.0,2.0,5.0,3.0,1.0,2.0,4.0,2.0,2.0,2.0,5.0,5.0,2.0,1.0,4.0,5.0,5.0,3.0,2.0,5.0,1.0,2.0,,3.0,2.0,1.0,4.0,3.0,2.0,5.0,3.0,2.0,2.0,5.0,1.0,3.0,5.0,,,3.0,5.0
Bhootpori,4.0,,2.0,5.0,2.0,,5.0,3.0,4.0,4.0,3.0,4.0,5.0,5.0,5.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,3.0,3.0,3.0,,,3.0,3.0,,3.0,3.0,4.0,4.0,2.0,2.0,2.0,1.0,2.0,,2.0,3.0,,4.0,2.0,1.0,4.0,5.0,5.0,5.0,1.0,1.0,,1.0,2.0,1.0,5.0,3.0,5.0,3.0,2.0,2.0,4.0,3.0,4.0,5.0,5.0,2.0,4.0,,5.0,5.0,1.0,2.0,3.0,2.0,4.0,3.0,1.0,3.0,2.0,3.0,5.0,,5.0,1.0,1.0,3.0,3.0,,4.0,4.0,4.0,2.0,4.0,,4.0,2.0,3.0
